Age,Income,Education,Marital_Status,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Actual_WineShare,Predicted_WineShare,Relative_WineShare,Actual_FruitShare,Predicted_FruitShare,Relative_FruitShare,Actual_MeatShare,Predicted_MeatShare,Relative_MeatShare,Actual_FishShare,Predicted_FishShare,Relative_FishShare,Actual_SweetShare,Predicted_SweetShare,Relative_SweetShare,Actual_GoldShare,Predicted_GoldShare,Relative_GoldShare,RecommendedBannerOrder,Top1Product,Top2Product,Top3Product
35,16014.0,Basic,Single,1,1,42,4,1,1,4,0.07894736842105263,0.16074391654410208,0.3506311094379975,0.23684210526315788,0.1167990925644769,2.369403262137141,0.10526315789473684,0.1113756687675255,0.44967796713463515,0.18421052631578946,0.17892914152993322,2.511878839330409,0.21052631578947367,0.12160119523837555,2.367193306810483,0.18421052631578946,0.3105509853555868,2.545869065221212,Gold > Fish > Fruit > Sweet > Meat > Wine,Gold,Fish,Fruit
30,35684.0,2n Cycle,Married,1,0,66,1,1,0,3,0.3333333333333333,0.1883270471013262,0.4107982614956564,0.13333333333333333,0.09369019031335878,1.9006127332382847,0.23333333333333334,0.2778324677225865,1.1217453567014628,0.0,0.12447804598660317,1.747472586083126,0.2,0.09768833777881018,1.901685085332639,0.1,0.21798391109731513,1.7870125105001597,Sweet > Fruit > Gold > Fish > Meat > Wine,Sweet,Fruit,Gold
49,69969.0,PhD,Married,0,0,64,1,4,2,6,0.57421875,0.5589752921389336,1.219294210598195,0.018880208333333332,0.03779857374742428,0.7667873266381613,0.3346354166666667,0.2583931371926042,1.0432592858036376,0.024739583333333332,0.053642956532162826,0.7530612746483176,0.018880208333333332,0.042553736981962374,0.8283875924575224,0.028645833333333332,0.04863630340691286,0.3987160438360688,Wine > Meat > Sweet > Fruit > Fish > Gold,Wine,Meat,Sweet
57,82347.0,2n Cycle,Married,0,0,38,1,7,7,10,0.30005396654074473,0.338938178083179,0.7393267003021715,0.02914193200215866,0.08052289016798679,1.6334989806142175,0.4560172692930383,0.28942377896226124,1.1685451410023007,0.1090124123043713,0.109625363821464,1.5389646945294633,0.07177549919050188,0.09233857837474115,1.7975420739951804,0.033998920669185105,0.089151210590368,0.730853611393819,Sweet > Fruit > Fish > Meat > Wine > Gold,Sweet,Fruit,Fish
53,63342.0,PhD,Together,0,1,48,3,8,3,5,0.8337874659400545,0.7060235835398884,1.5400510184661473,0.01907356948228883,0.009132936206853891,0.1852720630467591,0.10717529518619437,0.17006225749357945,0.6866243864776457,0.011807447774750226,0.01789334635299904,0.25119395132955014,0.009082652134423252,0.024746406802476462,0.4817348089021484,0.01907356948228883,0.07214146960420295,0.5914092836467394,Wine > Meat > Gold > Sweet > Fish > Fruit,Wine,Meat,Gold
54,47823.0,2n Cycle,Single,0,1,0,2,2,0,3,0.7361111111111112,0.390577128714454,0.8519668731891514,0.013888888888888888,0.08124807030450734,1.6482100896081535,0.06944444444444445,0.18337117148626766,0.7403589719147367,0.027777777777777776,0.0898040351695437,1.2607049567223443,0.013888888888888888,0.07468324499062562,1.4538481906048262,0.1388888888888889,0.1803163493346016,1.4782172247785632,Fruit > Gold > Sweet > Fish > Wine > Meat,Fruit,Gold,Sweet
50,41551.0,PhD,Married,1,1,51,5,5,1,5,0.7885304659498208,0.6514921381256388,1.4211014394342714,0.0,0.016947130513641887,0.3437919374306811,0.11827956989247312,0.17897011706348095,0.7225897658755028,0.010752688172043012,0.0247005610439641,0.3467563532435711,0.0,0.023232346166060344,0.45226080416392545,0.08243727598566308,0.10465770708721381,0.8579744759310167,Wine > Gold > Meat > Sweet > Fish > Fruit,Wine,Gold,Meat
43,69930.0,Graduation,Together,0,0,21,1,4,5,12,0.15162454873646208,0.4210261112587754,0.918385315394051,0.05896510228640193,0.06380698451527035,1.294397704110217,0.49759326113116725,0.3093405910249736,1.2489590380344904,0.13176895306859207,0.10104237398898797,1.4184732510784932,0.0421179302045728,0.055906948779135233,1.088332682049165,0.11793020457280386,0.04887699043285746,0.40068917444150165,Fish > Fruit > Meat > Sweet > Wine > Gold,Fish,Fruit,Meat
58,76542.0,PhD,Together,0,0,91,1,4,8,10,0.5354012137559002,0.5440047051934029,1.1866388316420073,0.049224544841537425,0.029284136814969355,0.5940622292074355,0.3863789615643965,0.32403299458733764,1.3082794465164904,0.0,0.05893075355859003,0.8272934837998647,0.019554956169925825,0.028258508916431262,0.5501044051112244,0.009440323668240054,0.015488900929268941,0.12697661765571497,Meat > Wine > Fish > Fruit > Sweet > Gold,Meat,Wine,Fish
56,35246.0,Graduation,Divorced,1,1,53,4,3,1,3,0.5806451612903226,0.44744910889450973,0.9760218665922621,0.0,0.04701862865840681,0.953826692300235,0.1935483870967742,0.22031430583874978,0.8895164471428421,0.03225806451612903,0.06759236036558834,0.9488885837766873,0.03225806451612903,0.04996070721308925,0.9725780366426848,0.16129032258064516,0.16766488902965623,1.3745016903282226,Gold > Wine > Sweet > Fruit > Fish > Meat,Gold,Wine,Sweet
